Event_ID,Event_Name,Event_Script,Event_Type,Event_Value
1_1,맑음,날씨가 화창합니다. 별다른 일이 일어날 것 같지 않습니다.,0 ,0 
1_2,폭염주의보…,폭염으로 인해 날씨가 굉장히 무덥습니다. 왠지 오늘 물 속성관련 의뢰손님들이 많이 찾아올 것 같습니다.,2 ,25 
1_3,장대비!,굵고 거센 장대비로 인해 습기가 가득합니다. 왠지 오늘 흙 속성관련 의뢰손님들이 많이 찾아올 것 같습니다.,3 ,25 
1_4,한파주의보,매서운 칼바람으로 인해 날씨가 굉장히 춥습니다. 왠지 오늘 불 속성관련 의뢰손님들이 많이 찾아올 것 같습니다.,1 ,25 
1_6,미세먼지 습격!,미세먼지로 인해 흙먼지가 자욱합니다. 바람속성으로 공기정화를 시켜야 하는 날씨입니다. 왠지 오늘 바람 속성관련 의뢰손님들이 많이 찾아올 것 같습니다.,4 ,25 
1_5,태풍주의보!!!,태풍이 급격한 속도로 마을을 강타하려 합니다. 금일 방문하는 손님의 수가 적어집니다.,9 ,-30
2_1,수금독촉,사채업자가 수금이 급한 모양입니다. 금일 사채업자의 수금량이 10%증가합니다.,7 ,10 
2_2,노다지,광산의 인부들이 노다지를 발견했습니다! 금일 광석의 가격이 10%인하됩니다.,6 ,-10
2_3,지반붕괴,광산의 지반 붕괴로 인해 빈손으로 돌아왔습니다. 금일 광석의 가격이 10% 인상됩니다.,6 ,10 
2_4,세리방문,금일 세리가 당신의 세금징수를 위해 방문할 예정입니다.,0 ,0 
2_5,명성상승,어제 방문했던 손님 중 1명이 새내기 보석세공사의 재능을 알아보고 신문에 제보했습니다. 금일 올라가는 명성치가 10% 증가합니다.,5 ,10 
2_6,명성하락,가게의 서비스에 만족못한 손님이 마을사람들에게 여기저기 불평을 쏟아냈습니다. 금일 올라가는 명성치가 10% 저하됩니다.,5 ,10 
